0.227,0.191,0.161,0.128,0.105,0.096,1
0.575,0.507,0.484,0.263,0.277,0.289,1
0.722,0.673,0.626,0.16,0.21,0.227,1
0.586,0.643,0.684,0.127,0.201,0.246,1
0.342,0.349,0.344,0.21,0.176,0.159,1
0.391,0.387,0.428,0.259,0.237,0.222,1
0.537,0.612,0.61,0.269,0.331,0.346,1
0.315,0.458,0.585,0.125,0.124,0.156,1
0.278,0.224,0.206,0.236,0.206,0.187,1
0.671,0.646,0.644,0.334,0.342,0.342,1
0.361,0.404,0.413,0.221,0.235,0.255,1
0.366,0.26,0.237,0.27,0.211,0.197,1
0.533,0.523,0.518,0.274,0.296,0.298,1
0.671,0.547,0.481,0.171,0.173,0.161,1
0.267,0.24,0.407,0.335,0.215,0.141,1
0.144,0.128,0.117,0.162,0.116,0.106,1
0.458,0.434,0.446,0.241,0.209,0.202,1
0.818,0.793,0.733,0.093,0.098,0.099,1
0.568,0.345,0.248,0.243,0.192,0.171,1
0.512,0.443,0.373,0.281,0.281,0.269,1
0.07,0.078,0.06,0.046,0.047,0.041,1
0.313,0.23,0.204,0.216,0.149,0.22,1
0.7,0.675,0.667,0.134,0.186,0.206,1
0.586,0.479,0.414,0.144,0.176,0.159,1
0.415,0.664,0.755,0.077,0.066,0.068,1
0.566,0.452,0.395,0.196,0.187,0.183,0
0.495,0.382,0.357,0.167,0.134,0.129,0
0.671,0.445,0.396,0.214,0.17,0.164,0
0.657,0.536,0.507,0.172,0.168,0.169,0
0.799,0.559,0.489,0.127,0.117,0.12,0
0.607,0.414,0.346,0.144,0.111,0.108,0
0.389,0.253,0.206,0.17,0.108,0.083,0
0.606,0.403,0.312,0.272,0.193,0.161,0
0.796,0.689,0.682,0.142,0.161,0.156,0
0.568,0.369,0.296,0.146,0.128,0.123,0
0.693,0.531,0.472,0.091,0.092,0.083,0
0.687,0.538,0.462,0.198,0.158,0.144,0
0.647,0.476,0.416,0.129,0.152,0.152,0
0.756,0.606,0.576,0.124,0.148,0.172,0
0.479,0.359,0.33,0.307,0.27,0.266,0
0.62,0.474,0.431,0.184,0.217,0.221,0
0.682,0.516,0.454,0.148,0.141,0.135,0
0.668,0.525,0.465,0.156,0.13,0.118,0
0.525,0.492,0.513,0.189,0.188,0.185,0
0.502,0.356,0.282,0.24,0.186,0.163,0
0.607,0.393,0.333,0.104,0.168,0.166,0
0.72,0.542,0.47,0.204,0.214,0.226,0
0.614,0.415,0.284,0.221,0.18,0.133,0
0.5,0.346,0.303,0.259,0.192,0.181,0
0.556,0.354,0.346,0.132,0.14,0.134,0
0.674,0.507,0.466,0.148,0.173,0.173,0
0.727,0.555,0.476,0.222,0.218,0.227,0
0.719,0.544,0.532,0.201,0.196,0.193,0
0.674,0.475,0.417,0.286,0.222,0.205,0
0.348,0.268,0.241,0.182,0.151,0.137,0
0.517,0.352,0.292,0.084,0.074,0.065,0
0.763,0.559,0.43,0.25,0.271,0.248,0
