0.465,0.345,0.294,0.143,0.12,0.118,28.583,49.333,11.375,21.0,11.5,20.75,1
0.473,0.353,0.308,0.153,0.125,0.128,50.667,82.889,6.714,40.857,13.625,33.0,1
0.492,0.364,0.321,0.158,0.133,0.137,24.538,47.615,9.0,21.143,4.636,18.909,1
0.375,0.204,0.137,0.154,0.101,0.075,45.6,113.2,20.857,26.143,0.0,0.0,1
0.435,0.255,0.179,0.169,0.127,0.101,60.75,114.75,17.714,31.143,52.0,49.0,1
0.279,0.214,0.174,0.065,0.051,0.042,0.0,0.0,0.0,0.0,0.0,0.0,1
0.35,0.274,0.244,0.106,0.095,0.085,80.6,131.6,22.4,48.0,37.667,81.0,1
0.341,0.245,0.204,0.117,0.087,0.071,77.7,82.14,83.0,88.0,83.0,88.0,1
0.292,0.233,0.197,0.088,0.072,0.062,55.0,104.0,56.0,49.0,56.0,49.0,1
0.59,0.436,0.41,0.202,0.199,0.222,52.0,70.333,0.273,11.227,4.143,11.476,1
0.508,0.338,0.282,0.206,0.162,0.137,63.818,90.727,3.333,11.111,5.333,19.667,1
0.567,0.368,0.279,0.206,0.155,0.131,72.0,208.0,9.667,20.333,21.5,44.167,1
0.47,0.303,0.223,0.184,0.143,0.122,85.0,186.0,8.25,10.333,0.0,0.0,1
0.237,0.165,0.195,0.121,0.09,0.079,49.667,144.0,116.0,285.0,116.0,286.0,1
0.267,0.192,0.198,0.163,0.157,0.145,111.0,158.0,112.0,46.0,112.0,46.0,1
0.445,0.352,0.367,0.213,0.192,0.184,45.857,82.714,10.0,32.25,16.25,46.0,1
0.405,0.318,0.333,0.18,0.162,0.159,56.8,110.2,8.0,28.0,12.143,23.143,1
0.35,0.222,0.156,0.141,0.097,0.068,56.846,75.615,0.0,0.0,0.0,0.0,1
0.267,0.181,0.117,0.093,0.065,0.049,131.0,366.0,0.0,0.0,0.0,0.0,1
0.456,0.336,0.298,0.134,0.113,0.105,76.9,92.35,15.286,44.429,5.2,33.6,1
0.441,0.318,0.281,0.11,0.087,0.082,75.55,85.15,19.0,86.333,38.0,102.5,1
0.545,0.422,0.355,0.174,0.147,0.132,23.333,43.778,3.773,9.955,2.37,8.519,1
0.506,0.427,0.345,0.132,0.1,0.096,44.75,70.75,1.714,8.821,3.654,9.538,1
0.478,0.342,0.3,0.166,0.155,0.143,77.4,99.9,1.45,12.2,1.941,14.647,1
0.305,0.234,0.197,0.096,0.099,0.089,27.0,57.0,9.667,37.333,9.333,38.333,1
0.514,0.396,0.398,0.166,0.159,0.17,51.5,105.0,11.875,34.625,18.8,55.4,1
0.418,0.273,0.237,0.121,0.092,0.081,80.471,92.588,35.0,25.0,70.0,50.0,1
0.258,0.154,0.126,0.145,0.105,0.1,98.0,281.0,0.0,0.0,0.0,0.0,1
0.435,0.302,0.277,0.213,0.191,0.192,55.143,92.0,14.875,31.375,12.0,25.2,1
0.559,0.325,0.24,0.227,0.17,0.138,33.0,72.5,3.111,12.111,5.714,16.0,1
0.417,0.252,0.194,0.17,0.128,0.107,49.25,84.5,1.333,37.333,8.6,34.0,1
0.45,0.317,0.267,0.195,0.161,0.15,53.154,69.154,4.364,8.727,3.429,6.857,1
0.266,0.186,0.16,0.112,0.085,0.075,92.0,150.0,0.0,0.0,0.0,0.0,1
0.354,0.199,0.153,0.127,0.092,0.065,55.342,62.026,40.333,2.333,0.0,0.0,1
0.281,0.148,0.119,0.098,0.055,0.042,123.0,348.0,0.0,0.0,0.0,0.0,1
0.318,0.187,0.136,0.133,0.096,0.077,77.556,106.0,6.5,127.5,34.0,146.0,1
0.314,0.182,0.138,0.102,0.082,0.081,110.133,129.933,0.0,0.0,0.0,0.0,1
0.279,0.153,0.11,0.113,0.078,0.066,0.0,0.0,0.0,0.0,0.0,0.0,1
0.361,0.222,0.174,0.15,0.123,0.109,97.455,125.727,9.417,26.0,137.0,311.0,1
0.849,0.646,0.589,0.108,0.189,0.165,41.0,125.0,8.444,18.333,7.0,33.6,0
0.826,0.804,0.82,0.178,0.221,0.201,60.75,63.75,19.0,30.25,22.333,12.0,0
0.562,0.476,0.417,0.264,0.288,0.297,40.333,104.0,21.5,96.5,25.0,91.5,0
0.474,0.264,0.167,0.077,0.071,0.043,51.611,61.944,2.0,1.0,0.0,0.0,0
0.526,0.418,0.376,0.068,0.06,0.055,55.667,69.417,2.04,7.76,1.0,11.75,0
0.639,0.518,0.421,0.116,0.174,0.166,70.0,120.0,13.667,47.667,5.25,10.875,0
0.464,0.413,0.422,0.105,0.123,0.159,38.077,51.0,3.062,7.562,7.5,9.6,0
0.331,0.327,0.336,0.148,0.152,0.159,17.333,25.889,0.25,8.0,2.867,8.467,0
0.768,0.378,0.142,0.118,0.115,0.102,43.0,144.0,1.0,64.0,0.0,0.0,0
0.77,0.46,0.24,0.16,0.14,0.159,36.5,96.5,20.5,67.5,44.0,137.0,0
0.785,0.348,0.089,0.104,0.099,0.035,64.0,188.0,7.0,109.0,0.0,0.0,0
0.717,0.26,0.068,0.089,0.091,0.037,42.0,154.0,0.0,0.0,0.0,0.0,0
0.138,0.234,0.239,0.069,0.073,0.074,0.0,0.0,27.0,1.0,26.0,2.0,0
0.575,0.544,0.512,0.208,0.179,0.134,37.5,114.0,19.5,76.5,8.0,25.0,0
0.78,0.604,0.557,0.143,0.11,0.103,18.5,34.5,38.0,120.0,41.0,120.0,0
0.385,0.267,0.181,0.179,0.198,0.23,51.125,74.125,36.0,132.0,36.0,132.0,0
0.597,0.38,0.346,0.125,0.155,0.132,34.0,90.0,11.833,23.667,6.286,18.857,0
0.722,0.515,0.441,0.147,0.147,0.138,25.5,91.0,0.167,8.5,4.0,19.571,0
0.177,0.19,0.188,0.208,0.191,0.19,42.0,48.5,5.182,7.091,5.182,7.091,0
0.303,0.196,0.141,0.187,0.148,0.13,19.6,42.2,8.5,18.833,10.2,22.6,0
0.855,0.754,0.656,0.056,0.11,0.165,41.0,142.0,41.0,101.0,0.111,12.222,0
0.482,0.245,0.223,0.244,0.084,0.088,39.0,83.0,0.0,0.0,0.0,0.0,0
0.647,0.499,0.463,0.277,0.24,0.232,32.0,130.0,23.0,79.0,23.0,79.5,0
0.461,0.316,0.33,0.167,0.169,0.172,22.0,46.333,64.0,25.0,23.667,47.0,0
0.723,0.594,0.492,0.047,0.09,0.194,31.0,105.0,12.0,70.0,30.0,42.0,0
0.809,0.645,0.593,0.018,0.026,0.025,41.0,143.0,41.0,103.0,41.0,103.0,0
0.627,0.625,0.587,0.234,0.231,0.202,50.0,74.0,12.714,24.0,7.077,14.231,0
0.556,0.494,0.432,0.169,0.178,0.183,35.0,89.5,24.0,46.667,14.8,29.4,0
0.534,0.601,0.66,0.048,0.048,0.044,50.667,90.667,41.0,107.0,41.0,108.0,0
0.788,0.629,0.6,0.064,0.082,0.094,35.0,123.0,16.5,66.0,16.5,68.0,0
0.179,0.18,0.192,0.142,0.144,0.139,60.375,85.0,7.625,24.625,3.4,19.7,0
0.184,0.154,0.159,0.128,0.102,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0
0.719,0.751,0.802,0.171,0.157,0.126,40.0,107.0,38.0,66.0,38.0,66.0,0
0.546,0.468,0.417,0.222,0.207,0.187,35.667,62.333,25.5,52.5,25.0,51.0,0
0.884,0.829,0.666,0.083,0.114,0.132,40.0,122.0,40.0,82.0,38.0,84.0,0
0.374,0.253,0.221,0.313,0.226,0.208,40.0,75.0,16.333,24.333,16.333,24.333,0
0.313,0.24,0.207,0.178,0.15,0.138,56.2,75.4,40.5,37.0,13.0,12.833,0
0.45,0.282,0.254,0.113,0.103,0.099,33.0,73.8,30.667,53.667,30.0,53.667,0
0.732,0.613,0.554,0.133,0.125,0.128,42.0,114.0,7.0,41.0,46.0,61.0,0
0.804,0.673,0.634,0.066,0.067,0.065,41.0,125.0,41.0,85.0,42.0,86.0,0
0.631,0.411,0.301,0.116,0.097,0.086,27.667,60.333,4.833,35.0,24.0,75.0,0
